city_name,city_uri,city_geo,city_mean,shipping_distance,shipping_cost
lexington,lexington.craigslist.org/search/jwa?query=diamond+ring,"38.0402,-84.4584",42723.11,2167,490.415765
detroit,detroit.craigslist.org/search/jwa?query=diamond+ring,"42.3830,-83.1022",28026.2,2283,321.4013
springfield,springfield.craigslist.org/search/jwa?query=diamond+ring,"42.1155,-72.5400",34497.66,2500,2750
phoenix,phoenix.craigslist.org/search/jwa?query=diamond+ring,"33.5722,-112.0880",33860.42,378,388.49483
modesto,modesto.craigslist.org/search/jwa?query=diamond+ring,"37.6609,-120.9891",29834.08,314,342.19192
cleveland,cleveland.craigslist.org/search/jwa?query=diamond+ring,"41.4781,-81.6795",16753.91,2343,191.769965
portland,portland.craigslist.org/search/jwa?query=diamond+ring,"45.5370,-122.6500",45205.82,964,518.96693
batonrouge,batonrouge.craigslist.org/search/jwa?query=diamond+ring,"30.4485,-91.1259",20220.56,1818,231.63644
jackson,jackson.craigslist.org/search/jwa?query=diamond+ring,"32.3158,-90.2128",26286.8,1839,301.3982
chicago,chicago.craigslist.org/search/jwa?query=diamond+ring,"41.8376,-87.6818",25384.46,2024,291.02129
tucson,tucson.craigslist.org/search/jwa?query=diamond+ring,"32.1543,-110.8711",38558.24,495,442.51976
richmond,richmond.craigslist.org/search/jwa?query=diamond+ring,"37.5314,-77.4760",34108.8,2617,391.3512
stlouis,stlouis.craigslist.org/search/jwa?query=diamond+ring,"38.6357,-90.2446",31285.85,1822,358.887275
toledo,toledo.craigslist.org/search/jwa?query=diamond+ring,"41.6641,-83.5819",17964.59,2246,205.692785
columbus,columbus.craigslist.org/search/jwa?query=diamond+ring,"32.5102,-84.8749",28729.87,1700,1999
newyork,newyork.craigslist.org/search/jwa?query=diamond+ring,"40.6643,-73.9385",11503.19,2798,131.386685
nashville,nashville.craigslist.org/search/jwa?query=diamond+ring,"36.1718,-86.7850",11649.5,2004,133.06925
albuquerque,albuquerque.craigslist.org/search/jwa?query=diamond+ring,"35.1056,-106.6474",41171.7,786,472.57455
shreveport,shreveport.craigslist.org/search/jwa?query=diamond+ring,"32.4670,-93.7927",7430.0,1619,84.545
grandrapids,grandrapids.craigslist.org/search/jwa?query=diamond+ring,"42.9612,-85.6556",48478.48,2177,556.60252
boise,boise.craigslist.org/search/jwa?query=diamond+ring,"43.5985,-116.2311",25275.21,839,289.764915
bakersfield,bakersfield.craigslist.org/search/jwa?query=diamond+ring,"35.3212,-119.0183",52514.21,108,603.013415
spokane,spokane.craigslist.org/search/jwa?query=diamond+ring,"47.6736,-117.4166",41938.75,1199,481.395625
anchorage,anchorage.craigslist.org/search/jwa?query=diamond+ring,"61.2176,-149.8953",31813.61,3398,364.956515
elpaso,elpaso.craigslist.org/search/jwa?query=diamond+ring,"31.8484,-106.4270",32464.57,804,372.442555
raleigh,raleigh.craigslist.org/search/jwa?query=diamond+ring,"35.8302,-78.6414",25153.29,2543,288.362835
austin,austin.craigslist.org/search/jwa?query=diamond+ring,"30.3072,-97.7560",21344.67,1378,244.563705
baltimore,baltimore.craigslist.org/search/jwa?query=diamond+ring,"39.3002,-76.6105",25931.84,2646,297.31616
macon,macon.craigslist.org/search/jwa?query=diamond+ring,"32.505,-83.396",42255.85,2287,485.042275
fortcollins,fortcollins.craigslist.org/search/jwa?query=diamond+ring,"40.5482,-105.0648",21776.37,1073,249.528255
stockton,stockton.craigslist.org/search/jwa?query=diamond+ring,"37.9763,-121.3133",21553.95,339,246.970425
neworleans,neworleans.craigslist.org/search/jwa?query=diamond+ring,"30.0686,-89.9390",38163.02,1903,437.97473
kansascity,kansascity.craigslist.org/search/jwa?query=diamond+ring,"39.1225,-94.7418",28364.54,2000,2000
providence,providence.craigslist.org/search/jwa?query=diamond+ring,"41.8231,-71.4188",22692.28,2968,260.06122
philadelphia,philadelphia.craigslist.org/search/jwa?query=diamond+ring,"40.0094,-75.1333",30033.65,2709,344.486975
lasvegas,lasvegas.craigslist.org/search/jwa?query=diamond+ring,"36.2277,-115.2640",31593.95,279,362.430425
laredo,laredo.craigslist.org/search/jwa?query=diamond+ring,"27.5477,-99.4869",17450.32,1405,199.77868
pittsburgh,pittsburgh.craigslist.org/search/jwa?query=diamond+ring,"40.4398,-79.9766",20126.54,2429,230.55521
minneapolis,minneapolis.craigslist.org/search/jwa?query=diamond+ring,"44.9633,-93.2683",26461.85,1925,303.411275
saltlakecity,saltlakecity.craigslist.org/search/jwa?query=diamond+ring,"40.7785,-111.9314",41982.53,690,481.899095
desmoines,desmoines.craigslist.org/search/jwa?query=diamond+ring,"41.5739,-93.6167",28997.66,1683,332.57309
atlanta,atlanta.craigslist.org/search/jwa?query=diamond+ring,"33.7629,-84.4227",50950.0,2172,585.025
memphis,memphis.craigslist.org/search/jwa?query=diamond+ring,"35.1035,-89.9785",32315.54,1798,370.72871
tampa,tampa.craigslist.org/search/jwa?query=diamond+ring,"27.9701,-82.4797",33147.12,2527,380.29188
rockford,rockford.craigslist.org/search/jwa?query=diamond+ring,"42.2634,-89.0628",29764.66,1967,341.39359
sandiego,sandiego.craigslist.org/search/jwa?query=diamond+ring,"32.8153,-117.1350",15435.87,115,176.612505
oklahomacity,oklahomacity.craigslist.org/search/jwa?query=diamond+ring,"35.4671,-97.5137",27883.11,1328,319.755765
augusta,augusta.craigslist.org/search/jwa?query=diamond+ring,"33.3655,-82.0734",26077.46,2324,298.99079
eugene,eugene.craigslist.org/search/jwa?query=diamond+ring,"44.0567,-123.1162",39636.57,860,454.920555
charlotte,charlotte.craigslist.org/search/jwa?query=diamond+ring,"35.2087,-80.8307",37105.1,2421,425.80865
tallahassee,tallahassee.craigslist.org/search/jwa?query=diamond+ring,"30.4551,-84.2534",46555.45,2259,534.487675
